,score
0,0.01664
1,0.81362385
2,0.96150434
3,0.09719612
4,0.7425422
5,0.93682706
6,0.86136276
7,0.98336995
8,0.019783407
9,0.9075028
10,0.9000432
11,0.9999771
12,0.004091954
13,0.9928098
14,0.93809587
15,0.9458412
16,0.06821316
17,0.9092916
18,0.0127973305
19,0.99318486
20,0.8626625
21,0.9737008
22,0.71607363
23,0.9952708
24,0.4693253
25,0.9531696
26,0.8967333
27,0.9778618
28,0.9741208
29,0.9979724
30,0.9162426
31,0.9955369
32,0.993234
33,0.8560194
34,0.99195087
35,0.08835477
36,0.0060058474
37,0.6069498
38,0.9953061
39,0.99774384
40,0.83597004
41,0.19840309
42,0.99395835
43,0.9218737
44,0.965874
45,0.9565439
46,0.9992322
47,0.80022216
48,0.107006766
49,0.35116088
50,0.999974
51,0.9783157
52,0.08479312
53,0.98254806
54,0.9856436
55,0.9907301
56,0.96137154
57,0.9973801
58,0.2520506
59,0.95765764
60,0.0009041211
61,0.050820224
62,0.7421017
63,0.22401114
64,0.9764653
65,0.994159
66,0.9765295
67,0.63849425
68,0.996358
69,0.047936276
70,0.8857925
71,0.9926519
72,0.984746
73,0.9497353
74,0.975958
75,0.31889117
76,0.9999682
77,0.9883477
78,0.9804232
79,0.99653804
80,0.9866143
81,0.99955934
82,0.9995503
83,0.67421997
84,0.9981294
85,0.0029669686
86,0.9822327
87,0.9991278
88,0.9130995
89,0.9931573
90,0.9982888
91,0.9997321
92,0.9960886
93,0.9862217
94,0.5961065
95,0.9897967
96,0.9983413
97,0.70516324
98,0.38771173
99,0.07121451
100,0.99987614
101,0.99636203
102,0.98390365
103,0.98927236
104,0.9277494
105,0.10741178
106,0.9956203
107,0.44590014
108,0.39787078
109,0.99841356
110,0.90456975
111,0.99914694
112,0.9585716
113,0.99663734
114,0.9290069
115,0.95295256
116,0.053585347
117,0.96719176
118,0.88837445
119,0.050347842
120,0.99262094
121,0.84921527
122,0.56033826
123,0.99898213
124,0.7798635
125,0.90435666
126,0.33008903
127,0.7883061
128,0.9907217
129,0.9747472
130,0.95734596
131,0.9488843
132,0.99469095
133,0.90756285
134,0.999819
135,0.9970196
136,0.86729765
137,0.30755585
138,0.9520318
139,0.9937727
140,0.97954035
141,0.06657746
142,0.39672956
143,0.9995376
144,0.99247545
145,0.70353884
146,0.0033056007
147,0.94163454
148,0.87257147
149,0.99940205
150,0.9942409
151,0.97942597
152,0.98368996
153,0.99942446
154,0.9999213
155,0.40640396
156,0.99715483
157,0.9549266
158,0.99850637
159,0.9492861
160,0.9611788
161,0.026368877
162,0.9249714
163,0.9911232
164,0.99976605
165,0.99643135
166,0.98026145
167,0.92194885
168,0.95945805
169,0.9993918
170,0.9921916
171,0.83721524
172,0.9402911
