,score
0,0.025592348
1,0.6808138
2,0.9967769
3,0.6597631
4,0.9846267
5,0.9872787
6,0.7226025
7,0.9995016
8,0.56734294
9,0.2319186
10,0.9988028
11,0.9999964
12,0.08657824
13,0.9965412
14,0.9983505
15,0.97697884
16,0.24034503
17,0.5351186
18,0.013177689
19,0.99991024
20,0.993364
21,0.9902356
22,0.99327254
23,0.9999622
24,0.9225821
25,0.9763155
26,0.99838173
27,0.99903655
28,0.99984837
29,0.99959105
30,0.99881434
31,0.99988353
32,0.99265224
33,0.93716604
34,0.9985764
35,0.69643086
36,0.2475836
37,0.9548193
38,0.9992586
39,0.9998636
40,0.9895397
41,0.35373506
42,0.9991032
43,0.99490404
44,0.9966529
45,0.9537985
46,0.9999378
47,0.9467458
48,0.98400253
49,0.993123
50,0.99998415
51,0.9985043
52,0.9843754
53,0.9863171
54,0.9509068
55,0.9959353
56,0.99947184
57,0.9997888
58,0.11357499
59,0.9735362
60,0.58938885
61,0.7010506
62,0.81133944
63,0.8299681
64,0.9990989
65,0.999511
66,0.9977418
67,0.32329336
68,0.99975663
69,0.51580805
70,0.9224859
71,0.99786514
72,0.99925965
73,0.99682826
74,0.9904599
75,0.9678774
76,1.0
77,0.88340706
78,0.9972921
79,0.99839956
80,0.99688596
81,0.9999902
82,0.9999862
83,0.9980862
84,0.99995494
85,0.0045281034
86,0.98305327
87,0.99986696
88,0.9944259
89,0.9987827
90,0.99987674
91,0.999997
92,0.99994314
93,0.9876159
94,0.9973901
95,0.99737656
96,0.9999305
97,0.9887101
98,0.8077035
99,0.04971141
100,0.97988963
101,0.99851793
102,0.99854517
103,0.99998057
104,0.99878854
105,0.101237245
106,0.9733512
107,0.8577751
108,0.9298346
109,0.99975294
110,0.99519604
111,0.99995136
112,0.99787843
113,0.99943894
114,0.99110365
115,0.9985128
116,0.7972733
117,0.9716015
118,0.9846117
119,0.98400027
120,0.99994195
121,0.99012226
122,0.9704161
123,0.99899215
124,0.9756857
125,0.99456453
126,0.99812657
127,0.9313138
128,0.9993748
129,0.99705756
130,0.97464377
131,0.94198287
132,0.99908054
133,0.99782073
134,0.99986506
135,0.9985831
136,0.9632373
137,0.8467563
138,0.9935288
139,0.9971566
140,0.99623495
141,0.6787689
142,0.8255168
143,0.99996316
144,0.99862576
145,0.97600716
146,0.0078019574
147,0.6599054
148,0.9963104
149,0.9999951
150,0.9999914
151,0.99694294
152,0.99022335
153,0.99969745
154,0.9999999
155,0.98794544
156,0.9999088
157,0.9999999
158,0.99993765
159,0.9940655
160,0.9954723
161,0.82467496
162,0.93732667
163,0.99949646
164,0.9999926
165,0.9996269
166,0.9930856
167,0.8829538
168,0.98011786
169,0.999998
170,0.9950263
171,0.94636995
172,0.99864763
173,0.99504614
174,0.99956435
175,0.9869977
176,0.9977354
177,0.99916756
178,0.917372
179,0.99999344
180,0.9802611
181,0.1391744
182,0.96388376
183,0.88579124
184,0.98895043
185,0.99857235
186,0.98319536
187,1.0
188,0.99687934
189,0.99190885
190,0.9440866
191,0.9120285
192,0.9978969
193,0.8746929
194,0.7822227
195,0.9719372
196,0.9995307
197,0.9999161
198,0.99713045
199,0.9997769
200,0.9999149
201,0.99034846
202,0.83963215
203,0.9999896
204,0.21689989
205,0.9983658
206,0.03416691
207,0.99999666
208,0.9819741
209,0.93915117
210,0.9843188
211,0.99884003
212,0.996833
213,0.9998795
214,0.057613414
215,0.96959287
216,0.9839804
217,0.09261085
218,0.9997824
219,0.938579
220,0.13785267
221,0.5836184
222,0.8900169
223,0.9996965
224,0.47188222
225,0.99965227
226,0.99867356
227,0.99469346
228,0.9974268
229,0.99306506
230,0.9315671
231,0.3306154
232,0.99897635
233,0.98720783
234,0.81111854
235,0.9559217
236,0.9996842
237,0.862897
238,0.9997632
239,0.9996253
240,0.9967775
241,0.97932005
242,0.22400655
243,0.9913356
244,0.9208625
245,0.9999069
246,0.94501394
247,0.9997191
248,0.9218898
249,0.9898226
250,0.92201585
251,0.63429743
252,0.9959777
253,0.82203513
254,0.9188164
255,0.99937314
256,0.9745164
257,0.98461586
258,0.03071892
259,0.99008805
260,0.981503
261,0.9997838
262,0.95187974
263,0.93387043
264,0.9085273
265,0.9924832
266,0.9092178
267,0.9999759
268,0.9974867
269,0.24319616
270,0.9989667
271,0.9999665
272,0.9991178
273,0.31884646
274,0.9909633
275,0.9999651
276,0.99313617
277,0.9934629
278,0.98990285
279,0.9976156
280,0.99922276
281,0.9997774
282,0.99934775
283,0.99371284
284,0.99967384
285,0.9999715
286,0.987061
287,0.99885106
288,0.99998987
289,0.9966594
290,0.9259359
291,0.88487667
292,0.9971035
293,0.9993987
294,0.98182744
295,0.99980754
296,0.99955827
297,0.9999397
298,0.06064154
299,0.976733
300,0.9999025
301,0.92195046
302,0.98947173
303,0.9870912
304,0.3082405
305,0.9917989
306,0.47910708
307,0.9287735
308,0.9997166
309,0.9996803
310,0.9997204
311,0.979645
312,0.99474794
313,0.99494064
314,0.9996798
315,0.5617725
316,0.99658316
317,0.7902977
318,0.9994956
319,0.9901155
320,0.9986344
321,0.9987715
322,6.8567424e-06
323,0.9989574
324,0.017186137
325,0.14896959
326,0.17654897
327,0.032346033
328,0.89269084
329,0.99997103
330,0.99828464
331,0.99437153
332,0.05373446
333,0.9802067
334,0.99997973
335,0.99967813
336,0.99595886
337,0.9887496
338,0.99577796
339,0.86493516
340,0.9997931
341,0.23208386
342,0.9983235
343,0.99161774
344,0.9042234
345,0.99918455
346,0.9968665
347,0.99658245
348,0.94700456
349,0.99330056
350,0.9724038
351,0.16552345
352,0.99750453
353,0.9867855
354,0.99999666
355,0.91031647
356,0.99991024
357,0.8572239
358,0.9979328
359,0.9996592
360,0.99836856
361,0.9964496
362,0.0009594763
363,0.090174995
364,0.3087416
365,0.99935526
366,0.97796017
367,0.9897368
368,0.99785954
369,0.9996995
370,0.99260205
371,0.10529024
372,0.9991611
373,0.9996092
374,0.98936033
375,0.9968696
376,0.8557419
377,0.7048862
378,0.99881315
379,0.99683243
380,0.97495663
381,0.99831843
382,0.9999981
383,0.99994254
384,0.5886787
385,0.9817945
386,0.99914205
387,0.4830003
388,0.9999863
389,0.99993086
390,0.9128993
391,0.9939346
392,0.21702746
393,0.99713457
394,0.9673582
395,0.8462149
396,0.9979386
397,0.8558337
398,0.9990074
399,0.99791104
400,0.42037117
401,0.99999547
402,0.9808621
403,0.9999026
404,0.8120495
405,0.9358109
406,0.9460429
407,0.71303713
408,0.9987136
409,0.9987941
410,0.99996614
411,0.99842924
412,0.66256356
413,0.9951166
414,0.9939756
415,0.9852861
416,0.99489236
417,1.0
418,0.56951785
419,0.9704635
420,0.9962888
421,0.9993229
422,0.993457
423,0.81257457
424,0.9928523
425,0.9995839
426,0.9793506
427,0.91164917
428,0.97885907
429,0.03971997
430,0.9810792
431,0.9998516
432,0.9988789
433,0.99492043
434,0.94959927
435,0.9048222
436,0.9974567
437,1.0
438,0.83921283
439,0.8082088
440,0.997182
441,0.73100096
442,0.96690774
443,0.991614
444,0.99367696
445,0.99500316
446,0.8809516
447,0.99612147
448,0.9045005
449,0.9992747
450,0.90569925
451,0.9488444
452,0.07789558
453,0.99989855
454,0.8223392
455,0.9326761
456,0.9087833
457,0.99948335
458,0.9960336
459,0.99577373
460,0.87842673
461,0.90278006
462,0.98418427
463,0.059678305
464,0.9553579
465,0.16111258
466,0.9620911
467,0.16786121
468,0.9929188
469,0.9875115
470,0.99870825
471,0.9985991
472,0.6164299
473,0.22523363
474,0.9999995
475,0.99997866
476,0.999783
477,0.9906098
478,0.9634209
479,0.9929334
480,0.970455
481,0.9792002
482,0.9969586
483,0.99171877
484,0.9973724
485,0.8727374
486,1.0
487,0.97856253
488,0.9919057
489,0.41871953
490,0.8894178
491,0.99699366
492,0.9986743
493,0.99819237
494,0.9927651
495,0.93525064
496,0.99976546
497,0.99986863
498,0.09893745
499,0.9446486
500,0.9981238
501,0.70680296
502,0.9999912
503,0.018791113
504,0.98546195
505,0.99989617
506,0.003531853
507,0.9991055
508,0.9980901
509,0.0009581599
510,0.6422956
511,0.9977223
512,0.97058636
513,0.67220706
514,0.9928519
515,0.98965317
516,0.97065777
517,0.9933797
518,0.99729747
519,0.99986386
520,0.9973369
521,0.9980117
522,0.9998216
523,0.90961224
524,0.99995506
525,0.9985619
526,0.99444085
527,0.93359137
